Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022

IBRD only,IBD,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

IDA & IBRD total,IBT,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

IDA total,IDA,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

IDA blend,IDB,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Indonesia,IDN,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,40,26,49,32,62,0,113,0,34,67,38,29,61,40,79,93,152,157,212,234,201,227,235,288,284,386,415,508,533,0,663,702,1058,1101,2271,1407,3093,1309,0,0,

IDA only,IDX,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Isle of Man,IMN,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

India,IND,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,1067,1128,0,1003,982,999,988,1033,1048,1147,1267,1248,1209,1588,1545,1661,1926,2247,2206,2206,2379,2693,3425,4014,4721,5686,6296,6425,7262,8853,8841,9553,10669,12040,12579,13199,14961,16289,19454,23141,0,0,

Not classified,INX,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Ireland,IRL,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,461,434,567,651,726,743,719,727,736,734,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,62,76,58,75,0,0,

Iran, Islamic Rep.,IRN,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,286,202,213,162,183,0,207,167,141,182,262,225,278,266,278,288,284,337,366,410,691,910,1287,2426,4051,5970,10648,15403,12184,11108,11529,10622,11305,13683,0,14930,15264,11908,11569,11396,0,

Iraq,IRQ,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,47,33,124,296,199,272,272,247,0,0,149,164,112,76,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,613,653,737,635,

Kuwait,KWT,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,

Latin America & Caribbean (excluding high income),LAC,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Lao PDR,LAO,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,0,0,0,0,1,1,1,0,3,1,0,0,0,0,

Lebanon,LBN,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,80,110,0,0,0,0,0,0,0,

Liberia,LBR,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Libya,LBY,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,25,0,15,10,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

St. Lucia,LCA,Patent applications - residents,IP.PAT.RESD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,

